setBiosysID	geneEntrezID
106565	6619
105863	3978
160944	5698
105699	2326
106465	2889
106502	51306
160962	4712
106513	60482
105844	23583
521	369
198782	4088
106356	2829
106391	3146
138053	5606
138011	5604
82988	5279
138036	4303
198917	6878
117291	118460
83106	836
138017	9564
106401	5528
105949	5438
142307	79611
138032	1856
138029	8554
119548	11251
105828	5682
167190	51619
161052	8178
160974	5565
187089	7314
187097	3660
105789	4175
105974	8892
82981	23553
105985	7852
160966	3987
500	7414
198855	841
106228	8480
105810	80184
131126	8504
106516	2899
536	3112
106356	390431
106386	80380
154409	481
473	196403
105883	10714
83048	4616
106393	64127
332	125061
138015	7329
487	3448
137953	596
106541	5983
82995	11041
298	50814
114229	6444
105700	1583
83066	4772
528	4193
83050	2915
167325	1649
119550	6001
153859	5869
106247	26270
105909	11069
105998	2961
160976	8029
105940	25920
106516	1173
83004	92483
106574	10978
82976	2720
105748	5700
198909	123920
138020	10000
193328	2107
105648	5694
364	9926
187097	55593
161003	57731
83061	144165
106535	8973
200269	7040
138014	5599
170654	80201
105944	5441
171867	3112
462	1394
105776	81620
83090	3845
161020	623
106059	2159
198833	19
138010	2268
456	2251
105739	983
132956	528
106356	5697
160981	4363
138055	207
154383	805
83109	5594
106034	7410
106043	2769
131226	5189
105937	1983
198897	6754
105937	10001
364	253558
132956	411
105714	54498
119558	11097
462	2917
106357	23566
193147	1385
142156	113675
198795	5881
458	3725
83048	2260
102279	9727
99052	967
106496	805
83110	3480
198811	9759
160977	54577
83087	389090
83065	56896
198788	5981
83104	5216
138023	5595
106423	983
106232	79001
83042	4199
532	3113
83071	22989
187106	8554
137980	8440
160943	2491
106502	9938
105789	5984
83101	245973
105899	5716
198835	983
106058	2155
198900	4313
83120	3586
83057	8677
126909	5567
198765	3363
119544	23054
106572	8001
119528	6092
105968	9045
187196	5577
105688	2885
198884	249
160141	8454
161020	8698
172846	714
106357	23620
137997	54815
105831	5708
124833	3665
83090	3101
119557	3127
82957	1160
471	11197
96865	527
137957	4133
503	64506
105697	1287
401	53354
198849	5153
106342	1175
161031	1143
102279	4088
105937	6171
105747	472
83105	4318
105826	7311
105769	902
153910	203068
488	3452
106560	7884
119550	57007
106552	8355
476	4233
106198	9972
105976	6155
198874	5295
463	4172
83091	998
147586	760
177876	4116
106034	10235
106496	5153
83105	1871
106549	84172
198801	3973
83098	5071
83123	3106
106398	7099
526	1019
198884	10849
105828	10213
106035	1277
82978	727936
504	5332
83098	7318
138043	5608
105770	5715
125137	4790
106344	9965
106055	6714
106400	7316
83087	5613
138012	1386
194324	337
187099	8772
106028	5528
106402	5604
106029	208
193147	4791
498	119774
106162	51128
153376	55503
82992	30814
82982	22856
106503	27237
520	6774
83082	695
167190	54788
198908	3656
83078	3690
521	595
106439	7074
130626	477
137941	808
519	5058
193184	23708
507	3329
106036	391
105906	10897
138073	947
139518	445
106164	22818
138949	64768
105811	22919
364	10390
83086	5515
105743	5702
83067	1287
309	56655
137948	659
106376	1903
175229	340529
106028	2783
462	5745
153376	1755
187098	80143
160981	64174
106403	7334
83103	1499
106507	2324
198789	51384
126872	9232
147560	10312
106549	8970
137929	7297
