geneEntrezID	geneName	stat	dbsnp	snpcnt	bin	chr	startpos	endpos	length	strand
1	A1BG	0.09907	rs893181	1	1	19	58858172	58864865	6694	-1
10	NAT2	0.10124	rs10088180	50	14	8	18248755	18258723	9969	1
100	ADA	0.17454	rs244078	16	9	20	43248163	43280376	32214	-1
1000	CDH2	0.19618	rs11564289	69	14	18	25530930	25757445	226516	-1
10000	AKT3	0.12726	rs2125230	47	13	1	243651535	244006886	355352	-1
10001	MED6	0.19596	rs12435305	8	6	14	71050957	71067384	16428	-1
10002	NR2E3	0.11822	rs12898868	1	1	15	72102894	72110600	7707	1
10003	NAALAD2	0.57409	rs507850	11	7	11	89867818	89925779	57962	1
100037417	DDTL	0.2663	rs1006771	1	1	22	24309026	24314748	5723	1
100038246	TLX1NB	0.18251	rs1361266	14	8	10	102849078	102890903	41826	-1
10004	NAALADL1	0.18731	rs527039	1	1	11	64812295	64826009	13715	-1
100049587	SIGLEC14	0.17293	rs11666027	20	10	19	52145806	52150132	4327	-1
10005	ACOT8	0.1115	rs1057276	3	3	20	44470360	44486048	15689	-1
10006	ABI1	0.15531	rs7092707	30	12	10	27035525	27150016	114492	-1
10007	GNPDA1	0.12648	rs617384	11	7	5	141380234	141392620	12387	-1
10008	KCNE3	0.20849	rs2270676	16	9	11	74165886	74178600	12715	-1
10009	ZBTB33	0.34768	rs5910800	5	4	X	119384607	119392251	7645	1
1001	CDH3	0.12851	rs10153230	21	10	16	68678151	68732957	54807	1
10010	TANK	0.261	rs10184811	23	11	2	161993466	162092683	99218	1
100101467	ZSCAN30	0.08548	rs1131709	7	5	18	32831023	32870196	39174	-1
100113407	TMEM170B	0.14766	rs471693	38	13	6	11538511	11583757	45247	1
100127206	KIAA1024L	0.15734	rs6879757	11	7	5	129083884	129100756	16873	1
100127889	C10orf131	0.09607	rs10882684	9	6	10	97667722	97698415	30694	1
100127946	LOC100127946	0.11815	rs7111795	34	12	11	69830650	69866574	35925	1
100127971	LOC100127971	0.08271	rs836172	1	1	12	50487389	50491626	4238	1
100127983	LOC100127983	0.09884	rs6987301	2	2	8	91970706	91997485	26780	-1
100128088	LOC100128088	0.09179	rs4614410	9	6	11	102621798	102625674	3877	-1
100128107	LOC100128107	0.08328	rs2072689	1	1	19	51585560	51586648	1089	-1
100128124	HGC6	0.14766	rs6900844	10	7	6	168376604	168377619	1016	-1
100128160	LOC100128160	0.5937	rs12497885	34	12	3	70246077	70264477	18401	-1
100128170	LOC100128170	0.12598	rs6124562	26	11	20	42016401	42017109	709	1
100128172	LOC100128172	0.13521	rs6121620	1	1	20	61072993	61074183	1191	-1
100128265	LOC100128265	0.10873	rs5920103	8	6	X	145507941	145508828	888	1
100128274	LOC100128274	0.08147	rs7022554	1	1	9	32433797	32436074	2278	-1
100128317	LOC100128317	0.12957	rs7786648	29	12	7	81102005	81259953	157949	-1
100128326	LOC100128326	0.13955	rs7809922	3	3	7	55815056	55815779	724	-1
100128327	BET3L	0.3325	rs12526587	13	8	6	116817646	116866773	49128	-1
100128402	LOC100128402	0.09167	rs2953209	3	3	12	8381402	8381982	581	1
100128437	LOC100128437	0.10729	rs17191183	21	10	15	60337448	60340906	3459	1
100128496	C20orf78	0.10736	rs12625947	21	10	20	18790372	18810839	20468	-1
100128517	LOC100128517	0.25023	rs1888644	45	13	6	14323069	14323715	647	1
100128529	LOC100128529	0.41374	rs10408670	3	3	19	51401874	51402314	441	1
100128553	CTAGE4	0.08984	rs17591937	5	4	7	143880548	143883173	2626	1
100128569	C19orf71	0.22892	rs12608592	1	1	19	3539155	3544028	4874	1
100128571	LOC100128571	0.17013	rs16946637	8	6	17	47194515	47194883	369	-1
100128591	LOC100128591	0.12264	rs376206	6	5	20	44393987	44394907	921	-1
100128651	LOC100128651	0.13584	rs9683420	7	5	4	5953402	5954868	1467	-1
100128691	LOC100128691	0.08619	rs17139805	1	1	5	115783249	115785557	2309	1
100128824	LOC100128824	0.11636	rs2140146	21	10	4	171185909	171186476	568	1
100128905	LOC100128905	0.15826	rs12473483	17	9	2	174890008	174891886	1879	1
100128927	ZBTB42	0.10623	rs4983387	2	2	14	105266933	105271049	4117	1
100129094	BTNL10	0.09915	rs12026460	11	7	1	228696347	228699989	3643	-1
100129098	LOC100129098	0.10738	rs1079005	17	9	8	55378154	55382986	4833	-1
100129125	LOC100129125	0.08485	rs16960280	1	1	17	19562964	19563826	863	1
100129126	LOC100129126	0.22388	rs17138416	19	10	7	63411914	63441761	29848	-1
100129128	KHDC1L	0.0886	rs6453657	3	3	6	73933267	73935175	1909	-1
100129171	LOC100129171	0.12971	rs10933010	14	8	2	224562814	224563281	468	-1
100129216	LOC100129216	0.09646	rs501308	6	5	11	71589499	71595607	6109	1
100129239	CXorf51A	0.921856	rs7472685	19	10	X	145895622	145896249	628	-1
100129271	C1orf68	0.12374	rs10888514	10	7	1	152691998	152692905	908	1
100129278	TDRD15	0.1574	rs312961	14	8	2	21346484	21366144	19661	1
100129280	LOC100129280	0.12237	rs10953238	9	6	7	97646471	97647823	1353	1
100129292	LOC100129292	0.14082	rs1569696	9	6	20	42527513	42528468	956	1
100129307	LOC100129307	0.10856	rs9593251	7	5	13	78235511	78236825	1315	-1
100129322	LOC100129322	0.11252	rs628980	32	12	6	11459202	11459636	435	-1
100129385	C9orf92	0.38444	rs7851398	103	15	9	16193933	16266305	72373	-1
100129393	LOC100129393	0.11167	rs2382075	12	8	15	38311672	38312097	426	1
100129397	LOC100129397	0.13806	rs2060429	27	12	15	46557037	46557453	417	-1
100129406	LOC100129406	0.13448	rs1837502	44	13	1	112740447	112740848	402	1
100129408	LOC100129408	0.10495	rs1506630	17	9	18	53475558	53476272	715	1
100129480	LOC100129480	0.09831	rs11710908	6	5	3	12581280	12586963	5684	-1
100129520	LOC100129520	0.155	rs3135286	17	9	X	124453969	124456950	2982	1
100129528	MUC8	0.1089	rs4265657	10	7	12	133049334	133050840	1507	-1
100129543	ZNF730	0.12356	rs771351	15	9	19	23299777	23329658	29882	1
100129583	FAM47E	0.19413	rs7675593	34	12	4	77135193	77204936	69744	1
100129636	LOC100129636	0.10497	rs7749435	9	6	6	29004000	29044517	40518	1
100129654	TCF24	0.13825	rs6984650	1	1	8	67858736	67874825	16090	-1
100129669	IZUMO3	0.1489	rs17836488	12	8	9	24543213	24545668	2456	-1
100129721	LOC100129721	0.13696	rs384626	6	5	10	61138544	61139334	791	-1
100129785	LOC100129785	0.11098	rs7036689	2	2	9	131920872	131921691	820	1
100129792	CCDC152	0.21987	rs2973009	8	6	5	42756920	42802539	45620	1
100129842	ZNF737	0.43406	rs7256767	16	9	19	20720798	20748626	27829	-1
100129846	LOC100129846	0.08191	rs2551715	1	1	8	30545233	30547826	2594	1
100129852	LOC100129852	0.09265	rs7750572	4	4	6	105384169	105401270	17102	-1
100129924	LOC100129924	0.12726	rs2816602	5	4	1	43253661	43263901	10241	1
100129974	LOC100129974	0.09859	rs9913674	1	1	17	387874	388251	378	-1
10013	HDAC6	0.08392	rs2075837	1	1	X	48660487	48683380	22894	1
100130057	LOC100130057	0.17629	rs2908909	39	13	16	49146773	49147605	833	1
100130078	LOC100130078	0.11636	rs12325833	13	8	17	76667337	76667714	378	1
100130097	LOC100130097	0.14549	rs4926444	16	9	1	246935180	246948062	12883	-1
100130101	LOC100130101	0.13126	rs784803	14	8	8	97417524	97418748	1225	1
100130152	LOC100130152	0.08503	rs6062729	2	2	20	61494367	61497805	3439	-1
100130274	CCDC166	0.07813	rs10112355	1	1	8	144788864	144790279	1416	-1
100130301	LOC100130301	0.15272	rs2605894	24	11	8	74153659	74171737	18079	-1
100130302	SUPT20HL1	0.13819	rs5944691	13	8	X	24380878	24383541	2664	1
100130345	LOC100130345	0.33755	rs17069316	13	8	3	63738271	63798811	60541	-1
100130348	LOC100130348	0.10724	rs12281698	3	3	11	64855844	64856542	699	-1
100130357	LOC100130357	0.09457	rs20500	13	8	6	13279527	13295818	16292	-1
100130370	LOC100130370	0.09165	rs9896868	2	2	17	79352934	79357447	4514	-1
100130372	LOC100130372	0.31411	rs2868804	13	8	20	46126687	46127154	468	1
100130433	LOC100130433	0.33182	rs2814726	45	13	9	87990841	87991566	726	1
100130451	LOC100130451	0.13804	rs10181294	4	4	2	214141277	214148929	7653	-1
100130463	LOC100130463	0.08616	rs8000162	2	2	13	114075870	114076649	780	1
100130480	LOC100130480	0.12875	rs919093	58	14	18	6511415	6590652	79238	1
100130519	TMEM221	0.08647	rs7254837	3	3	19	17546318	17559376	13059	-1
100130520	LOC100130520	0.115	rs1719479	4	4	17	72556310	72563482	7173	-1
100130539	LOC100130539	0.1125	rs7082209	34	12	10	44788198	44790097	1900	1
