chr	geneEntrezID	startpos	endpos	strand	symb	multi_loc	length
1	100652771	12190	13639	1	LOC100652771	False	1450
1	79501	69091	70008	1	OR4F5	False	918
1	100288646	329790	342507	1	LOC100288646	False	12718
1	729759	367659	368597	1	OR4F29	False	939
1	81399	621096	622034	-1	OR4F16	False	939
1	100287654	647187	659924	-1	LOC100287654	False	12738
1	148398	861121	879961	1	SAMD11	False	18841
1	26155	879583	894679	-1	NOC2L	False	15097
1	339451	895967	901099	1	KLHL17	False	5133
1	84069	901877	910488	1	PLEKHN1	False	8612
1	57801	934342	935552	-1	HES4	False	1211
1	9636	948847	949920	1	ISG15	False	1074
1	375790	955503	991492	1	AGRN	False	35990
1	401934	1007126	1009687	-1	RNF223	False	2562
1	54991	1017198	1051736	-1	C1orf159	False	34539
1	254173	1109286	1133313	1	TTLL10	False	24028
1	8784	1138888	1142089	-1	TNFRSF18	False	3202
1	7293	1146706	1149548	-1	TNFRSF4	False	2843
1	51150	1152288	1167447	-1	SDF4	False	15160
1	126792	1167629	1170421	1	B3GALT6	False	2793
1	388581	1177833	1182102	-1	FAM132A	False	4270
1	118424	1189292	1209234	-1	UBE2J2	False	19943
1	6339	1215816	1227409	1	SCNN1D	False	11594
1	116983	1227764	1243269	-1	ACAP3	False	15506
1	126789	1243994	1247057	1	PUSL1	False	3064
1	54973	1246965	1260046	-1	CPSF3L	False	13082
1	80772	1260143	1264276	1	GLTPD1	False	4134
1	83756	1266726	1269844	1	TAS1R3	False	3119
1	1855	1270658	1284492	-1	DVL1	False	13835
1	54587	1288071	1293915	-1	MXRA8	False	5845
1	54998	1309110	1310818	-1	AURKAIP1	False	1709
1	81669	1321091	1334718	-1	CCNL2	False	13628
1	55052	1337276	1342693	-1	MRPL20	False	5418
1	441869	1353800	1356650	-1	ANKRD65	False	2851
1	643965	1361508	1363167	1	TMEM88B	False	1660
1	64856	1370903	1378262	1	VWA1	False	7360
1	219293	1385069	1405538	1	ATAD3C	False	20470
1	83858	1407164	1431582	1	ATAD3B	False	24419
1	55210	1447523	1470067	1	ATAD3A	False	22545
1	339453	1470158	1475740	-1	TMEM240	False	5583
1	29101	1477053	1510262	-1	SSU72	False	33210
