geneEnsemblID	chr	length	cov.HC.CG.length	cov.HC.1000G.length	cov.CG.1000G.length	ChimpOrtholog	ChimpGeneStatus	MouseGeneStatus	KnownChimpOrMouseOrtholog
ENSG00000000457	1	3844	3707	2570	2471	TRUE	KNOWN	KNOWN	TRUE
ENSG00000000460	1	6354	5711	2819	2721	TRUE	KNOWN	NOVEL	TRUE
ENSG00000000938	1	3524	3132	1541	1723	TRUE	KNOWN_BY_PROJECTION	KNOWN	TRUE
ENSG00000000971	1	8155	7523	4057	3705	TRUE	KNOWN	KNOWN	TRUE
ENSG00000001460	1	8514	8181	1095	1095	TRUE	KNOWN	KNOWN	TRUE
ENSG00000001461	1	9404	9024	1530	1501	TRUE	KNOWN	KNOWN	TRUE
ENSG00000004455	1	5683	5029	1040	947	TRUE	KNOWN	KNOWN	TRUE
ENSG00000004487	1	3416	2707	2360	2393	TRUE	KNOWN	KNOWN	TRUE
ENSG00000006555	1	6055	5215	1230	1117	TRUE	KNOWN	KNOWN	TRUE
ENSG00000007341	1	8118	7845	1947	1816	TRUE	KNOWN	KNOWN	TRUE
ENSG00000007908	1	4219	3919	1932	1875	TRUE	KNOWN	KNOWN	TRUE
ENSG00000007923	1	5147	4789	2417	2261	TRUE	KNOWN_BY_PROJECTION	KNOWN	TRUE
ENSG00000007933	1	3463	3425	1613	1613	TRUE	KNOWN	KNOWN	TRUE
ENSG00000007968	1	5457	5033	1416	1254	TRUE	KNOWN	KNOWN	TRUE
ENSG00000008118	1	2676	2655	1511	1498	TRUE	KNOWN	KNOWN	TRUE
ENSG00000008128	1	4910	2168	2556	1365	TRUE	KNOWN_BY_PROJECTION	KNOWN	TRUE
ENSG00000008130	1	5739	4696	2341	2121	TRUE	KNOWN	KNOWN	TRUE
ENSG00000009307	1	5755	5531	2627	2580	TRUE	KNOWN	KNOWN	TRUE
ENSG00000009709	1	6313	5775	1699	1645	TRUE	KNOWN	KNOWN	TRUE
ENSG00000009724	1	4251	3604	2115	2336	TRUE	KNOWN_BY_PROJECTION	KNOWN	TRUE
ENSG00000009780	1	2876	2519	951	855	TRUE	KNOWN	KNOWN	TRUE
ENSG00000009790	1	7753	7493	2218	2181	TRUE	KNOWN	KNOWN	TRUE
ENSG00000010072	1	5906	5526	2365	2172	TRUE	KNOWN	KNOWN	TRUE
ENSG00000010165	1	3843	3622	2227	2045	TRUE	KNOWN	KNOWN	TRUE
ENSG00000010803	1	4447	4225	2086	2083	TRUE	KNOWN	KNOWN	TRUE
ENSG00000010932	1	3574	3477	1717	1680	TRUE	KNOWN	KNOWN	TRUE
ENSG00000011007	1	5391	4922	2273	2241	TRUE	KNOWN	KNOWN	TRUE
ENSG00000011009	1	2196	1548	973	506	TRUE	KNOWN	KNOWN	TRUE
ENSG00000011021	1	6884	6701	2713	2607	TRUE	KNOWN	KNOWN	TRUE
ENSG00000014914	1	4598	4437	2574	2507	TRUE	KNOWN	KNOWN	TRUE
ENSG00000016490	1	3340	3255	2828	2814	TRUE	KNOWN	KNOWN	TRUE
ENSG00000016602	1	3649	3527	2793	2734	TRUE	KNOWN	KNOWN	TRUE
ENSG00000018625	1	6513	6286	3379	3321	TRUE	KNOWN	KNOWN	TRUE
ENSG00000020129	1	5129	4381	2320	1898	TRUE	KNOWN	KNOWN	TRUE
ENSG00000020633	1	4680	3992	1203	926	TRUE	KNOWN	KNOWN	TRUE
ENSG00000021852	1	2729	2704	1889	1869	TRUE	KNOWN	KNOWN	TRUE
ENSG00000023572	1	1299	605	797	530	TRUE	KNOWN	KNOWN	TRUE
ENSG00000023902	1	6238	5457	1435	1377	TRUE	KNOWN	KNOWN	TRUE
ENSG00000023909	1	5374	4677	944	745	TRUE	KNOWN_BY_PROJECTION	KNOWN	TRUE
ENSG00000024526	1	5904	5317	2673	2527	TRUE	KNOWN	KNOWN	TRUE
ENSG00000025800	1	7687	6987	1725	1712	TRUE	KNOWN	KNOWN	TRUE
ENSG00000026751	1	4604	4314	1157	1092	TRUE	KNOWN	KNOWN	TRUE
ENSG00000027644	1	5101	4695	3904	3634	TRUE	KNOWN	KNOWN	TRUE
ENSG00000027869	1	2512	2280	1321	1126	TRUE	KNOWN	KNOWN	TRUE
ENSG00000028137	1	3816	3520	1360	1292	TRUE	KNOWN	KNOWN	TRUE
ENSG00000031698	1	3836	3793	1960	1917	TRUE	KNOWN	KNOWN	TRUE
ENSG00000033122	1	8201	7497	4939	4723	TRUE	KNOWN	KNOWN	TRUE
ENSG00000034971	1	2129	2024	1601	1498	TRUE	KNOWN	KNOWN	TRUE
ENSG00000035687	1	3936	3181	1414	1319	TRUE	KNOWN	KNOWN	TRUE
ENSG00000036549	1	9008	8582	2820	2809	TRUE	KNOWN	KNOWN	TRUE
ENSG00000037637	1	8984	8686	2297	2278	TRUE	KNOWN	KNOWN	TRUE
ENSG00000040487	1	2686	1993	968	924	TRUE	KNOWN	KNOWN	TRUE
ENSG00000041988	1	4072	3692	1377	1127	TRUE	KNOWN	KNOWN	TRUE
ENSG00000042781	1	20584	19746	15843	15462	TRUE	KNOWN	KNOWN	TRUE
ENSG00000043514	1	3071	2998	1633	1627	TRUE	KNOWN	KNOWN	TRUE
ENSG00000044012	1	597	573	398	374	TRUE	KNOWN	KNOWN	TRUE
ENSG00000047410	1	10180	9646	7310	7144	TRUE	KNOWN	KNOWN	TRUE
ENSG00000048707	1	20346	19777	13490	13200	TRUE	KNOWN	KNOWN	TRUE
ENSG00000049089	1	4151	3761	2169	2097	TRUE	KNOWN_BY_PROJECTION	KNOWN	TRUE
ENSG00000049239	1	9117	8398	2422	2116	TRUE	KNOWN_BY_PROJECTION	KNOWN	TRUE
ENSG00000049245	1	2760	2561	453	317	TRUE	KNOWN	KNOWN	TRUE
ENSG00000049246	1	7104	6408	3897	3608	TRUE	KNOWN	KNOWN	TRUE
ENSG00000049247	1	1788	1761	627	607	TRUE	KNOWN	KNOWN	TRUE
ENSG00000049249	1	2284	2135	829	754	TRUE	KNOWN	KNOWN	TRUE
ENSG00000050628	1	9654	8998	1955	1684	TRUE	KNOWN	KNOWN	TRUE
ENSG00000052723	1	5894	5731	825	820	TRUE	KNOWN	KNOWN	TRUE
ENSG00000053371	1	1781	1506	1209	954	TRUE	KNOWN	NULL	TRUE
ENSG00000053372	1	2822	2657	932	902	TRUE	KNOWN	KNOWN	TRUE
ENSG00000054116	1	3313	3271	851	850	TRUE	KNOWN	KNOWN	TRUE
ENSG00000054118	1	4736	4605	2908	2881	TRUE	KNOWN	KNOWN	TRUE
ENSG00000054267	1	11123	10047	5661	5464	TRUE	KNOWN	KNOWN	TRUE
ENSG00000054277	1	3480	2800	1483	1078	TRUE	KNOWN	KNOWN	TRUE
ENSG00000054282	1	5247	4692	2250	2167	TRUE	KNOWN	KNOWN	TRUE
ENSG00000054392	1	4296	3869	1511	1416	TRUE	KNOWN	KNOWN	TRUE
ENSG00000054523	1	17810	16761	6983	6931	TRUE	KNOWN_BY_PROJECTION	KNOWN	TRUE
ENSG00000055070	1	4747	4621	448	400	TRUE	KNOWN	KNOWN	TRUE
ENSG00000055732	1	6623	6314	1860	1762	TRUE	KNOWN	KNOWN	TRUE
ENSG00000057252	1	7033	6575	1713	1617	TRUE	KNOWN	KNOWN	TRUE
ENSG00000057468	1	3266	2692	2922	2518	TRUE	KNOWN	KNOWN	TRUE
ENSG00000057757	1	2186	1900	763	580	TRUE	KNOWN	KNOWN	TRUE
ENSG00000058085	1	6543	6452	3757	3692	TRUE	KNOWN	KNOWN	TRUE
ENSG00000058453	1	12265	7920	6580	4458	TRUE	KNOWN	KNOWN	TRUE
